Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
3.8800      -219590.285  -219599.270        8.985   202.6
3.8900      -219590.292  -219599.973        9.681   218.3
3.9000      -219590.294  -219599.225        8.932   201.5
3.9100      -219590.291  -219599.140        8.849   199.6
3.9200      -219590.287  -219599.659        9.372   211.4
3.9300      -219590.290  -219599.900        9.610   216.7
3.9400      -219590.297  -219600.541       10.244   231.1
3.9500      -219590.289  -219599.718        9.428   212.7
3.9600      -219590.289  -219600.092        9.803   221.1
3.9700      -219590.285  -219599.372        9.087   205.0
3.9800      -219590.290  -219599.063        8.772   197.9
3.9900      -219590.295  -219599.434        9.139   206.1
4.0000      -219590.288  -219599.516        9.228   208.1
4.0100      -219590.287  -219599.578        9.291   209.6
4.0200      -219590.297  -219600.349       10.052   226.7
4.0300      -219590.296  -219599.859        9.563   215.7
4.0400      -219590.294  -219599.722        9.428   212.7
4.0500      -219590.289  -219599.622        9.333   210.5
4.0600      -219590.290  -219599.487        9.197   207.4
4.0700      -219590.293  -219600.086        9.793   220.9
4.0800      -219590.301  -219600.573       10.272   231.7
4.0900      -219590.290  -219599.469        9.179   207.0
4.1000      -219590.283  -219599.498        9.214   207.8
4.1100      -219590.286  -219599.456        9.170   206.8
4.1200      -219590.289  -219599.508        9.219   207.9
4.1300      -219590.290  -219600.097        9.807   221.2
4.1400      -219590.289  -219600.473       10.184   229.7
4.1500      -219590.294  -219600.121        9.827   221.6
4.1600      -219590.294  -219600.044        9.750   219.9
4.1700      -219590.294  -219599.574        9.280   209.3
4.1800      -219590.289  -219600.139        9.850   222.2
4.1900      -219590.291  -219599.704        9.413   212.3
4.2000      -219590.296  -219600.041        9.745   219.8
4.2100      -219590.300  -219600.229        9.929   223.9
4.2200      -219590.292  -219599.945        9.653   217.7
4.2300      -219590.290  -219599.466        9.176   207.0
4.2400      -219590.294  -219599.441        9.147   206.3
4.2500      -219590.291  -219599.275        8.984   202.6
4.2600      -219590.289  -219599.728        9.439   212.9
4.2700      -219590.283  -219599.534        9.251   208.6
4.2800      -219590.284  -219599.539        9.255   208.7
4.2900      -219590.292  -219600.206        9.913   223.6
4.3000      -219590.292  -219599.781        9.490   214.0
4.3100      -219590.290  -219599.817        9.527   214.9
4.3200      -219590.287  -219600.075        9.787   220.8
4.3300      -219590.287  -219600.303       10.016   225.9
4.3400      -219590.287  -219600.795       10.508   237.0
4.3500      -219590.284  -219599.885        9.601   216.6
4.3600      -219590.286  -219599.334        9.049   204.1
4.3700      -219590.290  -219599.564        9.274   209.2
4.3800      -219590.291  -219599.889        9.598   216.5
4.3900      -219590.293  -219599.640        9.347   210.8
4.4000      -219590.296  -219599.705        9.409   212.2
4.4100      -219590.292  -219599.400        9.109   205.4
4.4200      -219590.292  -219599.836        9.544   215.3
4.4300      -219590.301  -219600.215        9.914   223.6
4.4400      -219590.299  -219599.436        9.137   206.1
4.4500      -219590.294  -219599.230        8.937   201.6
4.4600      -219590.295  -219599.695        9.401   212.0
4.4700      -219590.294  -219599.581        9.287   209.5
4.4800      -219590.298  -219599.732        9.434   212.8
4.4900      -219590.294  -219599.641        9.347   210.8
4.5000      -219590.287  -219599.644        9.356   211.0
4.5100      -219590.291  -219599.405        9.114   205.6
4.5200      -219590.298  -219599.544        9.245   208.5
4.5300      -219590.288  -219599.421        9.133   206.0
4.5400      -219590.284  -219599.060        8.775   197.9
4.5500      -219590.291  -219599.394        9.103   205.3
4.5600      -219590.291  -219599.280        8.989   202.7
4.5700      -219590.291  -219599.429        9.138   206.1
4.5800      -219590.290  -219599.894        9.604   216.6
4.5900      -219590.288  -219599.856        9.568   215.8
4.6000      -219590.292  -219599.858        9.566   215.8
